manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
שברולט,2008,מאליבו,3,אוטומטית,3510,בנזין,N/A,N/A,פתח תקוה והסביבה,פתח תקווה,19500.0,1,2022-07-15,2022-07-15,"שברולט מאליבו, בצבע זהב מטלי, יד שלישית, 150640 קילומטרים מצב מכני מצוין ,4 צמיגים חדשים חווית נהיגה מושלמת ,שמור ",N/A,150600,,4
שברולט,2008,מאליבו,4,אוטומטית,3500,בנזין,N/A,N/A,עכו - נהריה,כפר יאסיף,19000.0,1,2022-07-12,2022-07-12,רכב חזק הכל תקין עבר טיפול גדול   פירוט:  דגם מפואר פתח גג,N/A,350000,,4
שברולט,1988,אפלנדר,2,אוטומטית,6500,דיזל,N/A,N/A,בקעת אונו,גבעת שמואל,24000.0,1,2022-07-10,2022-07-10,רכב במצב טוב סוס עבודה,N/A,250000,,1
שברולט,2011,ספארק,2,ידנית,1200,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,13000.0,1,2022-07-08,2022-07-08,"טסט לשנה עד יוני 2023. רכב חסכוני בדלק, מרווח מאוד ",N/A,187000,,4
שברולט,2008,אוואו,4,אוטומטית,3200,בנזין,N/A,N/A,נתניה והסביבה,כפר יונה,12000.0,1,2022-07-02,2022-07-02,"שברולט קפטיבה מנוע בנזין 3200 ,7 מקומות ישיבה ,מערכת גמ""פ,יש בעיה עם המנוע כנראה שהלך מנוע נוסע אבל לא סוחב,בבדיקה של הרכב במוסך שברולט פספוסי הצתה ,לכן המחיר נמוך",N/A,214000,,5
שברולט,1995,אוואו,1,אוטומטית,4293,בנזין,N/A,N/A,נס ציונה - רחובות,קרית עקרון,5000.0,1,2022-07-02,2022-07-02,ג'י אם סי ספארי.יד ראשונה רכב עומד מספר שנים במצב טוב.מניע ונוסע.יש צורך בטסט ולהיתראות,N/A,304233,,1
שברולט,2011,מאליבו,2,אוטומטית,2400,בנזין,פרטית,ליסינג,באר שבע והסביבה,דימונה,1.0,2,2022-06-14,2022-06-14,"רכב סלון ,מפנק ,אמין ,משרת את המשפחה 9 שנים ,מטופל בזמן ללא חריגות .",אפור,258000,,1
שברולט,2008,אפלנדר,2,אוטומטית,3990,בנזין,N/A,N/A,חולון - בת ים,חולון,30000.0,1,2022-06-09,2022-06-09,רכב נכה עם דלת חשמלית ומעלון.שמור. חמש נוסעים ומרכז הרכב פנוי לכסא גלגלים. נמכר עקב פטירת בעל הרכב.,N/A,80000,,2
שברולט,2000,אלרו,3,אוטומטית,2400,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,9000.0,1,2022-06-08,2022-06-08,מטופלת בחברה 78000 אלף קילומטר טסט עד 02/23   פירוט:  לפרטים נוספים שלחו הודעה בווטסאפ ואחזור 0549800449 לא בשבת תודה ,N/A,78000,,1
שברולט,2011,קרוז,5,אוטומטית,1600,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,11700.0,6,2022-06-06,2022-06-06,"רכב שמור , אפס תקלות קילומטראז' נמוך ביחס לשנה נסיעה נוחה רכב אמריקאי מזגן תקין",שחור,230000,,8
שברולט,2010,מאליבו,2,אוטומטית,3500,בנזין,N/A,N/A,אשדוד - אשקלון,קרית מלאכי,18000.0,1,2022-05-23,2022-05-23,"רכב במצב מצויין נסיעה שקטה וחלקה! לפרטים נוספים נא לחייג, גמיש טיפה לרציניים בלבד!",N/A,123800,,5
שברולט,2007,אוואו,3,אוטומטית,1399,בנזין,N/A,N/A,N/A,Zefat,10000.0,1,2022-05-19,2022-05-19,"רכב במצב מצויין, טסט לעשרה חדשים, 4X2,   פירוט:  מערכת גז אומבל, חסכונית באופן משמעותי ביותר. עם כריות אוויר, ABS, אוטומטי.",N/A,,,3
שברולט,2007,אופטרה,3,אוטומטית,1600,בנזין,N/A,N/A,חיפה וחוף הכרמל,עתלית,8000.0,1,2022-05-12,2022-05-12,"שמורה מאוד במצב מצוין עקב קבלת מכונית מהחברה   פירוט:  גלגלים חדשים ,מצבר חדש,גג הפתוח עובד ,חלונות חשמליים,פשוט כל הקודם זוכה!!! גמישה במחיר",N/A,105000,,1
שברולט,2011,קרוז,2,אוטומטית,1600,בנזין,פרטית,פרטית,חולון - בת ים,חולון,11900.0,4,2022-05-04,2022-05-04,מתחייב על הכל טסט לשנה אוטו עם כל התוספות לא בשבת,אפור,171000,,8
שברולט,2011,קרוז,1,אוטומטית,1600,בנזין,N/A,N/A,מודיעין והסביבה,מודיעין מכבים רעות,22000.0,1,2022-04-27,2022-04-27,מצב נדיר מטופל בקנאות,N/A,150000,,8
שברולט,2011,קרוז,3,אוטומטית,1600,בנזין,N/A,N/A,נתניה והסביבה,נתניה,17000.0,1,2022-04-25,2022-04-25,"רכב מושקע מטופל ושמור!!! נעשה בו טיפול 10,000 השבוע! טסט עד סוף שנה. כל חלק וחלק מקורי והרכב מגיע עם היומן טיפולים ותיקייה עם כל המידע שצריך לדעת על הרכב. והפינוק מערכת מולטימדיה חדשה 9 אינץ' שיש בה הכול   פירוט:  כיסוי להגה, שמן מנוע ומי קירור",N/A,178000,,8
שברולט,2010,קרוז,3,אוטומטית,1600,בנזין,פרטית,פרטית,חולון - בת ים,חולון,11600.0,1,2022-02-28,2022-02-27,רכב שמור עם טסט עד אוקטובר לאחר טיפול ,אפור עכבר,92000,,4
שברולט,1990,קורבט,1,אוטומטית,5500,בנזין,פרטית,אחר,רעננה - כפר סבא,כפר סבא,129000.0,23,2021-10-15,2022-02-06,"רכב שמור במצב נדיר,בשנת 1986 יוצרו הרכבים האלו עם חבילת מדבקות חיצונית ולוח מקורות פנים. רק 7,135 מכוניות קורבט כאלו נבנו בשנת 1986. מייל נמוך, יד ראשונה , מתחת למכסה המנוע של מונח מנוע V-8 350CI L98 מכוון דלק, שהוצמד לתיבת הילוכים אוטומטית בעלת 4 הילוכים. מכונית פייס ספציפית זו צבועה בלבן פריכה ומודגשת עם פנים עור גרפיט. מיזוג אוויר, רדיו קלטות AM/FM, תמיכה מותנית, מושבי כוח, בלמי כוח, הגה כוח, חלונות חשמל, מנעולי חשמל, מראות כוח, בקרת שיוט, בלמים נגד נעילה ועוד הרבה הרבה יותר. קורבט 1998 היא בין מכונית הספורט האמיתית הטובה ביותר שהכסף שלך יכול לקנות. סלקט מוטורס SelectMotors.org יבוא אישי רכבי יוקרה אופנועים ואספנות 050-5829568",לבן,47513,,3
שברולט,1990,קורבט,1,אוטומטית,6000,בנזין,פרטית,אחר,רעננה - כפר סבא,כפר סבא,119000.0,14,2021-10-15,2022-02-06,"הרכב במצב נדיר, שמורה ומטופלת כחדשה, רק 37.400 ק""מ, גג פנורמי מושחר, V8 בנפח 5.7 ליטר בהספק 240 כ""ס עם הזרקת דלק כוונון. תיבת הילוכים  אוטומטית, קורבט 1998 היא בין מכונית הספורט האמיתית הטובה ביותר שהכסף שלך יכול לקנות. סלקט מוטורס SelectMotors.org יבוא אישי רכבי יוקרה אופנועים ואספנות 050-5829568 ",שחור,37400,,3
שברולט,2005,אבאו,4,ידנית,1400,בנזין,פרטית,פרטית,ראש העין והסביבה,ראש העין,4500.0,4,2021-10-01,2021-10-05,"רכב חסכוני בדלק, בבעלותי 9 שנים, צמיגים חדשים.",כסף מטלי,178000,,1
שברולט,2008,אוואו,3,אוטומטית,1399,בנזין,N/A,N/A,רעננה - כפר סבא,כפר סבא,6500.0,0,2022-10-27,2022-10-27,רכב מעולה נוסע ,N/A,,,5
שברולט,2011,קרוז,2,אוטומטית,1600,בנזין,N/A,N/A,עמק יזרעאל,מגדל העמק,10500.0,0,2022-09-29,2022-09-29,"שברולט קרוז 2011 יוצאת למכירה  שמורה בקנאות, נהג יחיד.  טסט לשנה 05/22 200אלף קילומטר  מצבר חדש, צמיגים חדשים, טיפול 10 אלף כולל הכל פילטר שמן, אוויר, שמן ומים, רצועת טיימינג, פלאגים מכסה שסתומים ועוד… מזגן חום קור פצצה.  החלפו קולר, מחזירי שמן.  מצב מכאני מדהים כל הקודם זוכה! לפרטים- 0586474564",N/A,200000,,8
שברולט,2009,מאליבו,1,אוטומטית,3510,בנזין,N/A,N/A,תל אביב,תל אביב יפו,26000.0,0,2022-09-19,2022-09-19,"כמו חדש !! ללא תאונות, נוחות ישיבה אדירה, מושב נהג כיונון חשמלי,   פירוט:  טלפון קבוע ברכב.",N/A,64700,,2
שברולט,2010,מאליבו,3,אוטומטית,3500,בנזין,N/A,N/A,באר שבע והסביבה,באר שבע,15000.0,0,2022-09-13,2022-09-13,No description,N/A,160243,,5
שברולט,2009,מאליבו,1,אוטומטית,3510,בנזין,N/A,N/A,תל אביב,תל אביב יפו,26000.0,0,2022-09-09,2022-09-09,"יד ראשונה, נהג יחיד, שמורה היטב, ללא תאונות.  לרציניים, אוהבי מכוניות אמריקאיות !!! ",N/A,64700,,2
שברולט,2008,אבאו,3,אוטומטית,1500,בנזין,חברה,פרטית,רמת גן - גבעתיים,בני ברק,3500.0,0,2022-08-31,2022-08-31,"בס""ד רכב במצב טוב מאוד הכל תקין טסט לשנה מחיר זול עקב קבלת רכב מהעבודה נא לא לחייג בשבת נהגת יחידה ",לבן,190000,,2
שברולט,2008,אבאו,3,אוטומטית,1500,בנזין,חברה,פרטית,רמת גן - גבעתיים,בני ברק,3500.0,0,2022-08-31,2022-08-31,"בס""ד רכב במצב טוב מאוד הכל תקין טסט לשנה מחיר זול עקב קבלת רכב מהעבודה",לבן,190000,,2
שברולט,2008,אוואו,2,אוטומטית,1400,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,5000.0,0,2022-08-08,2022-08-08,No description,N/A,190545,,5
שברולט,2011,קרוז,2,אוטומטית,1598,בנזין,N/A,N/A,חולון - בת ים,בת ים,8000.0,0,2022-07-27,2022-07-27,רכב שמור לא יצא מהעיר אין לא טסט חודשיים כי קניתי רכב חדש והוא עמד בגינה של הבית   פירוט:  4 צמיגים אורגנלים חדשים,N/A,160000,,8
שברולט,2010,מאליבו,2,אוטומטית,3500,בנזין,N/A,N/A,גליל ועמקים,נצרת,24000.0,0,2022-07-26,2022-07-26,"שברולט מאליבו 2010 נהג יחיד ,חניה פרטית  יד 2 רכב אמין וחזק נפח מנוע 3600 סמק 190000 נסע נעשה לו שירות לפני שבוע  ועליו 4 צמיגים חדשים טסט עד 08/2022 נעשה לו שירות. ב 14/7/2022",N/A,190000,,5
שברולט,1998,טראקס,3,אוטומטית,6500,טורבו דיזל,N/A,N/A,בקעת אונו,גבעת שמואל,24000.0,0,2022-07-09,2022-07-09,No description,N/A,250000,,1
שברולט,2008,אוואו,2,אוטומטית,1400,בנזין,N/A,N/A,נתניה והסביבה,נתניה,5000.0,0,2022-06-26,2022-06-26,מצב טוב מאד מטופל היטב מזגן מעולה ללא בעיות,N/A,200000,,5
שברולט,1990,קורבט,1,אוטומטית,5500,בנזין,אחר,אחר,"ראשל""צ והסביבה",ראשון לציון,95000.0,18,2022-01-16,2022-02-06,"1980 שברולט Chevrolet corvetteרכב שמור ומטופל, לאחר שחזור מלא בסדנה המתמחה בקורבטים.מנוע: 190hp 350ci ,גג T מתפרק.יבוא מקביל, אנו פועלים עם רישיון יבואן מקביל , וכן רישיון תיווך יבוא אישי מטעם משרד התחבורה, כ""כ חתימת הסכם בליווי עו""ד.""כולל בדיקה מקיפה, מכנית, וויזואלית ע""י חברה חיצונית מתמחה, וקבלת דו""ח מפורט ותמונות מצורפות.""בבקשה רק רציניים לפנות, הרכב ביבוא לא נמצא בארץ.זמני אספקה מהירים במיוחד ~~ ליווי צמוד ויחס אישי,סלקט מוטורס SelectMotors.org יבוא מקביל, יבוא אישי, רכבי יוקרה אופנועים ואספנות 050-5829568 ",אדום,160000,,3
שברולט,2007,מאליבו,2,אוטומטית,3500,בנזין,פרטית,פרטית,N/A,שדה בוקר,16000.0,1,2024-04-03,2024-04-03,יד 02 קמ 270,צהוב,270,,1
שברולט,1992,קורבט,1,ידנית,5500,בנזין,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,115000.0,33,2023-12-17,2023-12-17,"** היפה ** והחיה *C-4 צבע מיוחד.1992 שברולט קורבט LT 1 *גיר ידני 6 הילוכים *מושקעת ושמורה * גג טארגה שקוף מתפרק  V-8 מנוע, 3505.7 ליטר 300 סוסים ** 0-100 5.7 שניות. 107.000 מייל.מושבים מעור חדשים בהזמנה עם גימור תפירה תואם לצבע הרכב,+ ממיר קטליטי חדש + 4 בולמי זעזועים חדשים (KYB) +כבלים אחורי וקדמי בלם יד + צמיגים חדשים + מגיני שמש חדשים+ מצבר חדש +אחריות לשנתיים, הוחלפו שמנים, מערכת סוני מחליפת צבעים, הכל עובד והרכב נוסע מעולה 100%.חיה רעה. טסט 11/24 115.000 ש""ח*** עוד הצגה מיוחדת**עסקה שלא תחזור על עצמה!!!לפרטים בוותצאפ 050-5829568 ",טורקיז,107000,177,1
שברולט,2010,מאליבו,4,אוטומטית,2400,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,17500.0,1,2023-07-05,2023-07-04,"רכב שמור ומטופח, מטופל היטב",אפור,210000,,5
שברולט,2009,אבאו,5,אוטומטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,קרית שמונה,6000.0,5,2024-01-02,2024-03-01,רכב לכל כיס במצב טוב מאוד.. ליצור קשר דרך ה whatsup ,לבן,230000,,1
שברולט,2010,מאליבו,4,אוטומטית,3500,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,11000.0,5,2023-04-19,2023-04-18,"210,000 קילומטר טסט עד 08/2023 ברכב מותקנת מערכת גז (גפ״מ) לחיסכון של 50 אחוז בדלקהרכב במצב מצויין ",כחול כהה,210000,,5
שברולט,2009,קרוז,2,אוטומטית,1600,בנזין,פרטית,פרטית,חולון - בת ים,חולון,16000.0,2,2022-11-16,2022-11-16,"שברולט קרוז 2009 מבע שמפניה, 65000 ק""מ בלבד, מצב מצויין. טסט לשנה. יד 2",שמפניה,65000,,2
שברולט,2008,אופטרה,4,ידנית,1600,בנזין,פרטית,פרטית,N/A,כפר עציון,6450.0,6,2022-11-02,2022-11-02,"שברולט אופטרה 1.6 ידנית שנת 2008 עם קילמטראז' נמוך- 164000 ק""מ.רכב ידני! נוסע מעולה לכל מקום בארץ. חזק בעליות.חסכוני בדלק.מרווח ונוח גם לנהג וגם לנוסעים. בגאז' גדול.הכל עובד פיקס! מזגן,חימום,חלונות חשמל,מראות חשמל, רדיו USB.פנים הרכב מצב חדש!לאחרונה נעשה טיפול של שמן/פילטר שמן(מקורי),פילטר אויר ופלאגים.טסט עד סוף ינואר 2023! ",זהב,164000,,1
שברולט,2010,קרוז,5,אוטומטית,1600,בנזין,N/A,N/A,N/A,קריית ים,10000.0,1,2022-10-31,2022-10-31,גיר מיבוא יש על הגיר שלושה חודשי אחריות מUMI ממיר קטליטי חדש 2 חיישני למדה חדש אלטרנטור חדש וגם רדיאטור אלומיניום רכב מושקע ביותר מ..10k טסט עד 30/08/22 מבקש 10k הרכב בבעלותי מ28/03/2019,N/A,166000,,4
שברולט,2011,ספארק,3,ידנית,1200,בנזין,N/A,N/A,תל אביב,תל אביב יפו,16000.0,1,2022-10-19,2022-10-19,קילומטראז' נמוך. במצב טוב חוץ מאחת הדלתות האחוריות שנפתחת רק מבפנים,N/A,93000,,4
שברולט,2005,מאליבו,3,אוטומטית,3500,בנזין,N/A,N/A,עמק יזרעאל,אכסאל,,1,2022-10-18,2022-10-18,רכב חדש ,N/A,196000,,1
שברולט,2004,אוואו,3,ידנית,1400,בנזין,N/A,N/A,N/A,קציר-חריש,5500.0,1,2022-10-12,2022-10-12,"רכב מפרטי, שמור היטב, מכירה מיידית   פירוט:  מערכת מוליטמדיה ",N/A,232000,,1
שברולט,2008,מאליבו,3,אוטומטית,3510,בנזין,N/A,N/A,באר שבע והסביבה,באר שבע,14000.0,1,2022-10-11,2022-10-11,רכב שמור במצב טוב חלונות חשמל מגנזיום שליטה על מערכת שמע מההגה טסט ל 11חודשים,N/A,175000,,4
שברולט,2006,אופטרה,5,אוטומטית,1600,בנזין,N/A,N/A,חיפה וחוף הכרמל,חיפה,3500.0,1,2022-10-11,2022-10-11,רכב במצב מעולה חוץ מהמנוע שהלך לפירוק או נסיעה יד 5 טסט 8 חודשים   פירוט:  גנטים מגנזיום מערכת נעילה מרכזית ,N/A,250,,1
שברולט,2009,קורסיקה,1,אוטומטית,3200,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,39000.0,1,2022-09-27,2022-09-27,"שברולט Captiva LTZ ג׳יפון גבוה במצב מושלם  נוח ונעים לנסיעה, לא מרגישים את הכביש  בטיחותי גבוה  מרווח, מקדימה ומאחורה  שמור היטב  בגאז׳ ענק   פירוט:  מערכת מולטימדיה עם כל האפליקציות חלונות שחורים מאחורה  גגון נפתח חשמלי  סלון מעור בז׳ מצלמות רוורס  2 מצלמות פנימיות מחוברות לבטיחות  - צילום הנסיעה ",N/A,135000,,1
שברולט,2011,ספארק,4,ידנית,1200,בנזין,N/A,N/A,"ראשל""צ והסביבה",ראשון לציון,10500.0,1,2022-09-22,2022-09-22,מצב מצוין חסכוני ואמין ,N/A,210000,,4
שברולט,2009,אפיקה,3,אוטומטית,2500,בנזין,N/A,N/A,רעננה - כפר סבא,רעננה,13000.0,1,2022-09-09,2022-09-09,"רכב מפנק ,נסיעה שקטה טסט עד אוגוסט 2023 שווה את המחיר ,הכל מקורי באוטו והכל עובד.",N/A,140000,,1
שברולט,2009,קרוז,4,אוטומטית,1400,בנזין,N/A,N/A,נתניה והסביבה,נתניה,6000.0,1,2022-09-08,2022-09-08,"דורש 6אלף, גמיש ליד הרכב נקנה אם 75000 אלף ק״מ עדיין לא הגיע ל100000 הכל מתוקן, בלי מנורות דולקות, טסט עד מאי 6 מזגן עובד, והכל תקין. יש מכה בצד ימין של הרכב, כי מישהו/ מישהי דפקו את הרכב בחנייה.   פירוט:  מסך אנדרואיד 10 אינץ אם מגבר וסאב",N/A,100000,,2
שברולט,2010,קרוז,3,אוטומטית,1600,בנזין,N/A,N/A,באר שבע והסביבה,באר שבע,,1,2022-09-08,2022-09-08,No description,N/A,90000,,4
שברולט,2011,סוניק,5,אוטומטית,1400,בנזין,N/A,N/A,חיפה וחוף הכרמל,עתלית,,1,2022-09-07,2022-09-07,"שברולט סוניק שמורה ספר טיפולים היום נעשה טיפול גדול בחברה , נוסע מצוין !   פירוט:  מסך מולטימידה 10 אינצ מלצמת דרך ",N/A,134000,,1
שברולט,2008,אפלנדר,3,אוטומטית,3900,בנזין,N/A,N/A,N/A,"בני עי""ש",5000.0,1,2022-09-05,2022-09-05,No description,N/A,350000,,2
שברולט,2008,אוואו,3,אוטומטית,1400,בנזין,N/A,N/A,גליל ועמקים,ריינה,4000.0,1,2022-09-05,2022-09-05,"מצב מיכני (גיר מנוע תקין) , הסתיים טסט ב 24/8/2022, לא הגיע ל 3000 ק״ם בשנה האחרונה .",N/A,208000,,5
שברולט,2009,אוואו,3,אוטומטית,1400,בנזין,N/A,N/A,חולון - בת ים,חולון,12000.0,1,2022-09-03,2022-09-03,"שברולט אבאו 2009 במצב מצוין 209,000 ק""מ יד 3 טסט 3/23 מחיר 12,000 ש""ח   פירוט:  מצלמת דרך",N/A,209000,,1
שברולט,2007,אוואו,6,אוטומטית,1500,בנזין,N/A,N/A,ראש העין והסביבה,ראש העין,7000.0,1,2022-08-26,2022-08-26,"רכב במצב מיכני וחיצוני מעולה. מטופל בזמן ושמור בקנאות.  הוחלפו לאחרונה 4 צמיגים. טסט לשנה, עד אוגסט 2023. גמישות קלה במחיר, לרציניים בלבד. ",N/A,264000,,3
שברולט,2004,טראקס,2,אוטומטית,6600,טורבו דיזל,N/A,N/A,קיסריה והסביבה,בית חנניה,8000.0,1,2022-08-16,2022-08-16,כל הקודם זוכה. אפשרות לחשבונית יש כנף להחלפה בצד נהג   פירוט:  וו גרירה,N/A,360000,,1
שברולט,2007,אוואו,2,אוטומטית,1400,בנזין,N/A,N/A,חדרה וישובי עמק חפר,חדרה,5000.0,1,2022-08-13,2022-08-13," רכב מעולה מצב מכני נדיר נסע רק 17090 ק""מ שמור מאד",N/A,170000,,3
שברולט,2011,קרוז,4,אוטומטית,1800,בנזין,השכרה,פרטית,תל אביב,תל אביב יפו,9000.0,4,2022-08-13,2022-08-13,שברולט קרוז 2011 יד 04 טסט לחצי שנה בערך מצב מכני מצוין רכב שמור מטופל בזמן קילומטר 210מחיר 9.000 אזור תל אביב ,שחור,21001,,8
שברולט,2010,קרוז,3,אוטומטית,1600,בנזין,N/A,N/A,הוד השרון והסביבה,הוד השרון,10000.0,1,2022-08-08,2022-08-08,"שימשה כרכב שני, בעיקר לנסיעות בעיר, קילומטרז נמוך, שמורה, מטופלת במוסך מורשה. ללא תאונות. טסט עד סוף ספטמבר.   פירוט:  חיישני רברס, מערכת התרעות. ",N/A,120000,,4
שברולט,2011,קרוז,3,אוטומטית,1600,בנזין,N/A,N/A,ירושלים והסביבה,ירושלים,13000.0,1,2022-08-08,2022-08-08,No description,N/A,160000,,8
שברולט,2011,ספארק,1,ידנית,1200,בנזין,N/A,N/A,נתניה והסביבה,כפר יונה,9000.0,1,2022-08-05,2022-08-05,"רכב אמין ומעולה , מתאים גם לנסיעות למרחקים גדולים.",N/A,158000,,4
שברולט,2008,מאליבו,5,אוטומטית,3510,בנזין,N/A,N/A,בקעת אונו,אור יהודה,17000.0,1,2022-07-25,2022-07-25,"למכירה בהזדמנות!!!  שברולט מאליבו  שנת 2008  מנוע 3510 סמ""ק 134,000 ק""מ  הנעה מהשלט כולל מסך מולטימדיה +מוביליי  טסט 05/23 מצב מכני מעולה  שמורה ומטופלת-מצב חדש! כל הקודם זוכה   לפרטים נוספים נופר 0506899690   פירוט:  הנעה מהשלט  מוביליי  מסך מולטימדיה",N/A,134000,,4
